run_id,variant_id,factor,factor_level,contrast_variant_id,training_seed,status,git_commit,registry_sha256,checkpoint,checkpoint_sha256,training_wall_seconds
phase2_cartpole_controlled_ablation__B0__seed7,B0,baseline,official_manager_based_config,,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-54-31_ppo_torch/checkpoints/agent_2400.pt,f9b99ac5f61ffc349371a80ed58f02a8c3ec52e63627e6002b9752f13da75d07,90.15042220300006
phase2_cartpole_controlled_ablation__B0__seed42,B0,baseline,official_manager_based_config,,42,succeeded,historical-phase1-run,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-26_16-09-30_ppo_torch/checkpoints/agent_2400.pt,d375ff94649f1328b87e367e175d84bdae8da4f327f9820430c0a498b4ef8592,
phase2_cartpole_controlled_ablation__B0__seed123,B0,baseline,official_manager_based_config,,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-56-01_ppo_torch/checkpoints/agent_2400.pt,d6caf44ff6118ba4c1356b81119848c2e580d68c44a81f4e8208b53ae9c8d9e0,92.0558255540002
phase2_cartpole_controlled_ablation__O_POS__seed7,O_POS,observation,position_only,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-57-33_ppo_torch/checkpoints/agent_2400.pt,d981267b259e18e49c6f71ed53d7e0b1ca4e5c0ef7c752bf28ee7b5581cac772,92.59876884100004
phase2_cartpole_controlled_ablation__O_POS__seed42,O_POS,observation,position_only,B0,42,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-43-56_ppo_torch/checkpoints/agent_2400.pt,09cdac3695c328012635ee52479df88d4d1496a96d77e143f826e3b3a4b49985,92.21469721200015
phase2_cartpole_controlled_ablation__O_POS__seed123,O_POS,observation,position_only,B0,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-59-06_ppo_torch/checkpoints/agent_2400.pt,5b9ecd80741521456f57fd91b1c9faa17fbe55534352fd8d7714fbc73afcaac3,92.41986965399997
phase2_cartpole_controlled_ablation__O_H4__seed7,O_H4,observation,position_history_4,O_POS,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-00-38_ppo_torch/checkpoints/agent_2400.pt,f655afbdfbcdd72bfbb04b49122dc89a0497023e3726fc8aae1adcd7e59fb8f1,92.50928310600011
phase2_cartpole_controlled_ablation__O_H4__seed42,O_H4,observation,position_history_4,O_POS,42,succeeded,f89f1e3bd977ab9bf9553c46c987195a104160a1,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_01-29-49_ppo_torch/checkpoints/agent_2400.pt,20d5baf18ff251cd16d9def685a7b88f9cab9cbb86112b110875c4ee7b3ddd53,113.198094354
phase2_cartpole_controlled_ablation__O_H4__seed123,O_H4,observation,position_history_4,O_POS,123,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-02-11_ppo_torch/checkpoints/agent_2400.pt,9d89de39df287fcf0dca7a59cdb03a9fbfa2bf29fb71d71a1bf434c12cd540af,91.72570972299991
phase2_cartpole_controlled_ablation__R_CV0__seed7,R_CV0,reward,0.0,B0,7,succeeded,a2ddcc55747b6b0e1a46451369a371734315ebff,72c2bf04bda3213469068e31c489e0439a51ab49cfef25ec022b998d3465fa5d,/workspace/isaaclab/logs/skrl/cartpole/2026-07-27_02-03-43_ppo_torch/checkpoints/agent_2400.pt,2ae8b64d79fda22b2733a092ed12da808347d918a4cb42f5e5404faedcc1dd7d,90.83113158300011
