variant_id,variant_label,checkpoint_vector_steps,training_transitions,mean_balance_seconds,robust_success_fraction,mean_upright_fraction_12deg,mean_pole_angle_rms_radians,time_limit_fraction
B0,Baseline,240,983040,0.3313333333333333,0.0,0.2096277586878206,0.9200460829628365,0.0
B0,Baseline,480,1966080,2.6506666666666665,0.08,0.728267339228875,0.22832114458527322,0.08
B0,Baseline,720,2949120,3.6626666666666665,0.32,0.924790006931614,0.11207648010498028,0.4
B0,Baseline,960,3932160,5.0,0.72,0.9472,0.08324851876871583,1.0
B0,Baseline,1200,4915200,5.0,0.76,0.9477333333333334,0.09557520182846904,1.0
B0,Baseline,1440,5898240,5.0,0.8,0.9525333333333333,0.09901268406631156,1.0
B0,Baseline,1680,6881280,5.0,0.64,0.93,0.1369397130775259,1.0
B0,Baseline,1920,7864320,5.0,0.6,0.9418666666666666,0.1276088969302828,1.0
B0,Baseline,2160,8847360,5.0,0.72,0.9657333333333333,0.11745220886537533,1.0
B0,Baseline,2400,9830400,5.0,0.64,0.9589333333333333,0.12203544857578988,1.0
O_POS,Position only,240,983040,1.48,0.0,0.1780446782311633,0.8557713623078455,0.0
O_POS,Position only,480,1966080,3.546666666666667,0.36,0.8860460544760376,0.11585560851553417,0.36
O_POS,Position only,720,2949120,4.233333333333333,0.32,0.8645853134863954,0.15688769423727822,0.6
O_POS,Position only,960,3932160,4.038666666666667,0.16,0.5240125556271952,0.24037387972910587,0.64
O_POS,Position only,1200,4915200,3.728,0.0,0.2795768071319305,0.41393619670866555,0.48
O_POS,Position only,1440,5898240,3.6293333333333333,0.04,0.22696342488029278,0.4895370630707181,0.48
O_POS,Position only,1680,6881280,3.740666666666667,0.04,0.22113171952205662,0.5027971146180258,0.52
O_POS,Position only,1920,7864320,3.806,0.04,0.21176536859581518,0.5880292955703301,0.52
O_POS,Position only,2160,8847360,3.898,0.04,0.21334692036673877,0.6263832271890633,0.56
O_POS,Position only,2400,9830400,3.7506666666666666,0.04,0.21378638451974677,0.6130195260991329,0.52
O_H4,4-frame history,240,983040,1.1313333333333333,0.0,0.03905798359650941,1.6365433824078712,0.0
O_H4,4-frame history,480,1966080,1.8453333333333333,0.0,0.37703849413783047,0.5650529914138344,0.0
O_H4,4-frame history,720,2949120,3.812,0.08,0.5095570323106515,0.23684402353746978,0.28
O_H4,4-frame history,960,3932160,5.0,0.52,0.888,0.1318215718165955,1.0
O_H4,4-frame history,1200,4915200,5.0,0.64,0.9401333333333334,0.10461990513990141,1.0
O_H4,4-frame history,1440,5898240,5.0,0.68,0.9529333333333334,0.09418042858448761,1.0
O_H4,4-frame history,1680,6881280,5.0,0.84,0.9693333333333334,0.06973817436905846,1.0
O_H4,4-frame history,1920,7864320,5.0,0.8,0.9693333333333334,0.06796506412434328,1.0
O_H4,4-frame history,2160,8847360,5.0,0.84,0.9710666666666667,0.07079914840143953,1.0
O_H4,4-frame history,2400,9830400,5.0,0.84,0.9712000000000001,0.07366166504950585,1.0
R_CV0,Cart-vel 0,240,983040,1.1586666666666665,0.08,0.4116841471256537,0.5484754843832732,0.08
R_CV0,Cart-vel 0,480,1966080,3.5853333333333333,0.28,0.838734526210093,0.13380624880559785,0.28
R_CV0,Cart-vel 0,720,2949120,5.0,0.6,0.9397333333333333,0.09424545428641194,1.0
R_CV0,Cart-vel 0,960,3932160,5.0,0.36,0.8646666666666667,0.13156745278526397,1.0
R_CV0,Cart-vel 0,1200,4915200,5.0,0.84,0.9604,0.10345804089939295,1.0
R_CV0,Cart-vel 0,1440,5898240,5.0,0.76,0.9614666666666668,0.08059299476898035,1.0
R_CV0,Cart-vel 0,1680,6881280,5.0,0.76,0.9609333333333333,0.0765729997778064,1.0
R_CV0,Cart-vel 0,1920,7864320,5.0,0.8,0.9661333333333333,0.07719441277682658,1.0
R_CV0,Cart-vel 0,2160,8847360,5.0,0.8,0.9705333333333335,0.07374934569387662,1.0
